doi;coo_authors;num_authors;num_citation;num_institution;date;
10.1145/1837885.1837908;Eric Huang, Haoqi Zhang, David C. Parkes, Krzysztof Z. Gajos, Yiling Chen 0001,;5;48;1;2010-09-08;
10.1145/1866218.1866254;Lahiru G. Jayatilaka, Luca F. Bertuccelli, James Staszewski, Krzysztof Z. Gajos,;4;1;3;2010-12-06;
10.1609/AIMAG.V30I4.2268;Leah Findlater, Krzysztof Z. Gajos,;2;42;2;2009-01-01;
10.1145/1520340.1520396;Aaron Spaulding, Krzysztof Z. Gajos, Anthony Jameson, Per Ola Kristensson, Andrea Bunt, Will Haines,;6;1;5;2009-09-22;
10.1145/1361203.1361207;Jacob O. Wobbrock, Krzysztof Z. Gajos,;2;1;2;2022-12-15;
10.1145/1357054.1357252;Krzysztof Z. Gajos, Katherine Everitt, Desney S. Tan, Mary Czerwinski, Daniel S. Weld,;5;0;1;2022-04-29;
10.1145/1357054.1357250;Krzysztof Z. Gajos, Jacob O. Wobbrock, Daniel S. Weld,;3;1;2;2022-12-15;
10.1145/1296843.1296847;Jacob O. Wobbrock, Krzysztof Z. Gajos,;2;1;2;2022-12-15;
10.1145/1294211.1294253;Krzysztof Z. Gajos, Jacob O. Wobbrock, Daniel S. Weld,;3;1;2;2022-12-15;
10.1145/1168987.1169036;Krzysztof Z. Gajos, Jing Jing Long, Daniel S. Weld,;3;0;2;2021-09-27;
10.1109/TWC.2022.3199415;Michal Yemini, Stephanie Gil, Andrea J. Goldsmith,;3;0;2;2023-02-01;
10.1177/02783649221097989;Ninad Jadhav, Weiying Wang, Diana Zhang, Oussama Khatib, Swarun Kumar, Stephanie Gil,;6;0;3;2022-09-01;
10.1109/TRO.2021.3089033;Frederik Mallmann-Trenn, Matthew Cavorsi, Stephanie Gil,;3;5;2;2022-02-01;
10.1109/TRO.2021.3088054;Michal Yemini, Angelia Nedic, Andrea J. Goldsmith, Stephanie Gil,;4;8;3;2022-02-01;
10.1109/CDC51059.2022.9993343;Matthew Cavorsi, Ninad Jadhav, David Saldaña, Stephanie Gil,;4;1;2;2022-01-01;
10.1109/CDC51059.2022.9992416;Michal Yemini, Angelia Nedic, Stephanie Gil, Andrea J. Goldsmith,;4;0;3;2022-01-01;
10.1109/ICRA46639.2022.9812033;Matthew Cavorsi, Stephanie Gil,;2;0;1;2022-01-01;
10.1109/IROS47612.2022.9981230;Ninad Jadhav, Weiying Wang, Diana Zhang, Swarun Kumar, Stephanie Gil,;5;0;2;2022-01-01;
10.1007/S10514-020-09916-X;Joseph DelPreto, Andres F. Salazar-Gomez, Stephanie Gil, Ramin M. Hasani, Frank H. Guenther, Daniela Rus,;6;14;4;2020-09-01;
